CD_CLIENTE,Recencia,Frequencia,Monetario,R_Score,F_Score,M_Score,RFM_Score,Segmento
T01259,226,36,25811.415192155782,5,5,4,554,Amantes
T01346,3622,4,488.3410911443985,1,2,2,122,Clientes Regulares
T01351,171,35,36030.33244796197,5,5,4,554,Amantes
T01352,2914,22,30613.090504795277,1,4,4,144,Clientes Regulares
T01356,4989,4,857.4986220509043,1,2,2,122,Clientes Regulares
T01384,201,47,164117.94845341006,5,5,5,555,Almas Gêmeas
T01436,164,27,374926.51379950356,5,5,5,555,Almas Gêmeas
T01440,141,23,4958.933209058666,5,4,3,543,Amantes
T01487,194,29,3641.557814101544,5,5,3,553,Amantes
T01502,155,80,237601.71996095177,5,5,5,555,Almas Gêmeas
T01526,4118,39,18524.680042758904,1,5,4,154,Clientes Regulares
T01531,3385,17,9086.612477614348,1,4,3,143,Clientes Regulares
T01567,534,13,2733.3060220477514,3,4,3,343,Prestes a te largar
T01637,4888,2,0.0462424310471173,1,1,1,111,Clientes Regulares
T01667,423,21,6473.297156419137,4,4,3,443,Amantes
T01670,450,89,156506.6502920657,4,5,5,455,Amantes
T01690,306,41,182215.05416327805,4,5,5,455,Amantes
T01695,3228,4,114.98811058470959,1,2,1,121,Términos
T01702,3622,11,9478.710458177595,1,3,4,134,Clientes Regulares
T01724,976,11,19102.685207703667,3,3,4,334,Amigos Platônicos
T01726,792,26,4128.5284477440055,3,4,3,343,Prestes a te largar
T01743,4133,41,60938.7422620591,1,5,5,155,Ex-Amantes
T01744,229,7,1416.3762359716295,5,3,2,532,Clientes Regulares
T01759,3725,6,6653.831811084451,1,2,3,123,Clientes Regulares
T01773,428,8,6539.7054912601625,4,3,3,433,Amantes
T01777,337,17,10128.832796269016,4,4,4,444,Amantes
T01846,1619,24,94763.53775737144,2,4,5,245,Prestes a te largar
T01872,188,22,5138.156260225195,5,4,3,543,Amantes
T01877,603,26,63662.047307428584,3,4,5,345,Prestes a te largar
T01899,5367,10,4146.663888429217,1,3,3,133,Clientes Regulares
T01901,198,47,28897.445866658854,5,5,4,554,Amantes
T02029,4579,59,727.6708949574391,1,5,2,152,Clientes Regulares
T02069,3803,32,46569.163249466816,1,5,5,155,Ex-Amantes
T02072,5392,15,64044.89680178238,1,4,5,145,Clientes Regulares
T02076,188,47,131186.80475351287,5,5,5,555,Almas Gêmeas
T02084,2318,14,16695.41354768233,1,4,4,144,Clientes Regulares
T02145,134,54,250615.8744655497,5,5,5,555,Almas Gêmeas
T02202,4448,15,5275.807365880354,1,4,3,143,Clientes Regulares
T02235,1219,2,3344.92943436376,2,1,3,213,Prestes a te largar
T02250,170,76,208737.02634704628,5,5,5,555,Almas Gêmeas
T02262,6942,6,3973.183306427263,1,2,3,123,Clientes Regulares
T02266,191,46,15917.653692186104,5,5,4,554,Amantes
T02282,831,43,28842.707439871163,3,5,4,354,Prestes a te largar
T02312,1317,15,10177.479833730584,2,4,4,244,Prestes a te largar
T02345,3594,5,11616.279444902664,1,2,4,124,Clientes Regulares
T02382,173,22,56493.10424148081,5,4,5,545,Amantes
T02413,884,11,23895.502992869013,3,3,4,334,Amigos Platônicos
T02421,1418,7,423.9674232694437,2,3,2,232,Prestes a te largar
T02424,1150,26,44355.70202567867,2,4,5,245,Prestes a te largar
T02434,311,31,21757.17731181765,4,5,4,454,Amantes
T02436,1227,7,4434.712195279075,2,3,3,233,Prestes a te largar
T02500,4873,14,6231.562746191651,1,4,3,143,Clientes Regulares
T02519,4455,12,8640.087155708645,1,3,3,133,Clientes Regulares
T02523,171,32,37168.287210456234,5,5,5,555,Almas Gêmeas
T02542,191,50,151319.16596948536,5,5,5,555,Almas Gêmeas
T02553,190,20,34083.673235886214,5,4,4,544,Amantes
T02571,5085,10,48180.07718899633,1,3,5,135,Clientes Regulares
T02610,1801,30,137732.79501153817,2,5,5,255,Prestes a te largar
T02655,2055,23,41950.62477920336,1,4,5,145,Clientes Regulares
T02684,136,154,1047204.0672337683,5,5,5,555,Almas Gêmeas
T02724,976,23,38897.91808205585,3,4,5,345,Prestes a te largar
T02725,1888,19,61205.846951502,1,4,5,145,Clientes Regulares
T02727,3603,28,17300.94977452954,1,5,4,154,Clientes Regulares
T02776,275,60,266585.56350423605,4,5,5,455,Amantes
T02810,463,41,45969.86975081093,4,5,5,455,Amantes
T02817,368,27,33196.04556807941,4,5,4,454,Amantes
T02855,1412,4,4322.574299989818,2,2,3,223,Prestes a te largar
T02860,285,74,163430.51267732104,4,5,5,455,Amantes
T02894,5308,12,8124.391564671201,1,3,3,133,Clientes Regulares
T02895,1104,4,113.02070533652277,2,2,1,221,Prestes a te largar
T02904,481,11,5224.835595294331,4,3,3,433,Amantes
T02963,306,83,207201.45814312194,4,5,5,455,Amantes
T02984,221,75,14029.533193958612,5,5,4,554,Amantes
T03000,219,97,64218.59178051014,5,5,5,555,Almas Gêmeas
T03013,304,46,297331.958326168,4,5,5,455,Amantes
T03061,606,15,36468.09693111292,3,4,4,344,Prestes a te largar
T03062,173,186,1116477.6167333357,5,5,5,555,Almas Gêmeas
T03063,3622,10,6847.814605469744,1,3,3,133,Clientes Regulares
T03067,164,64,88244.56148679252,5,5,5,555,Almas Gêmeas
T03085,641,24,90596.90134258723,3,4,5,345,Prestes a te largar
T03108,402,103,179474.09712082052,4,5,5,455,Amantes
T03116,3552,8,4971.27153043351,1,3,3,133,Clientes Regulares
T03120,183,102,1873179.22824371,5,5,5,555,Almas Gêmeas
T03133,148,16,109604.96612865374,5,4,5,545,Amantes
T03154,191,27,129754.59258683621,5,5,5,555,Almas Gêmeas
T03193,192,28,19101.52914692748,5,5,4,554,Amantes
T03198,522,18,34444.75515678894,3,4,4,344,Prestes a te largar
T03201,2683,9,3020.379033988256,1,3,3,133,Clientes Regulares
T03211,337,16,17299.322881728174,4,4,4,444,Amantes
T03213,4329,4,123.73633776735068,1,2,1,121,Términos
T03231,194,46,26884.836540195156,5,5,4,554,Amantes
T03268,858,24,20775.353811967896,3,4,4,344,Prestes a te largar
T03306,396,71,315722.2536604467,4,5,5,455,Amantes
T03309,645,39,114056.89732371186,3,5,5,355,Prestes a te largar
T03314,215,59,272819.07684024627,5,5,5,555,Almas Gêmeas
T03315,5058,9,2011.7643511327365,1,3,3,133,Clientes Regulares
T03356,1227,18,3470388.2942799074,2,4,5,245,Prestes a te largar
T03360,4331,13,3699.360852910446,1,4,3,143,Clientes Regulares
T03367,1159,17,10873.52510970917,2,4,4,244,Prestes a te largar
T03372,416,22,17711.28829221221,4,4,4,444,Amantes
T03378,194,51,241060.60756084492,5,5,5,555,Almas Gêmeas
T03386,241,25,93027.51702257263,5,4,5,545,Amantes
T03415,2458,4,4527.819228263759,1,2,3,123,Clientes Regulares
T03436,520,17,25143.72493412384,3,4,4,344,Prestes a te largar
T03439,641,15,24531.529797205723,3,4,4,344,Prestes a te largar
T03450,3523,18,21133.476217283638,1,4,4,144,Clientes Regulares
T03455,312,42,26391.270054342418,4,5,4,454,Amantes
T03456,226,34,18009.392225886135,5,5,4,554,Amantes
T03459,177,87,303620.1091963889,5,5,5,555,Almas Gêmeas
T03485,4222,29,25280.270425291226,1,5,4,154,Clientes Regulares
