CD_CLIENTE,DATA_RECENTE,FREQUENCIA,MONETARIO,RECENCIA,R_SCORE,F_SCORE,M_SCORE,RFM_SCORE,SEGMENTO_RFM
TFDQ03,2025-01-31,8,8511.919952275515,171,5,4,3,543,Clientes Leais
TFDQ15,2023-10-09,0,311.232580233939,651,3,3,2,332,Potencial para Retenção
TFDQ17,2023-10-10,0,3302.1467779304453,650,3,3,3,333,Potencial para Retenção
TFDQ22,2023-10-10,0,0.00420385736791976,650,3,3,1,331,Potencial para Retenção
TFDQ31,2023-10-11,0,0.00420385736791976,649,3,3,1,331,Potencial para Retenção
TFDQ51,2025-03-14,25,16825.17401305788,129,5,4,4,544,Campeões
TFDQ57,2023-10-16,0,287.6657558293808,644,3,3,2,332,Potencial para Retenção
TFDQ60,2023-10-17,0,4017.5424093735587,643,3,3,3,333,Potencial para Retenção
TFDQ69,2025-03-15,329,45297.1432716522,128,5,5,4,554,Campeões
TFDQ70,2023-10-19,0,239.3634346719833,641,3,3,2,332,Potencial para Retenção
TFDQ71,2024-08-30,45,18161.243961730128,325,4,5,4,454,Campeões
TFDQ72,2023-10-17,0,75.291085459443,643,3,3,1,331,Potencial para Retenção
TFDQ76,2023-10-17,0,124.4762166641041,643,3,3,1,331,Potencial para Retenção
TFDQ87,2023-10-18,0,90.2862446908127,642,3,3,1,331,Potencial para Retenção
TFDQA3,2024-12-30,17,13409.573532482013,203,5,4,4,544,Campeões
TFDQA5,2024-11-05,255,50240.518004592224,258,4,5,5,455,Campeões
TFDQAE,2023-12-04,0,273.0657591905959,595,3,3,2,332,Potencial para Retenção
TFDQBB,2024-04-19,6,854.6021643244073,458,4,4,2,442,Clientes Leais
TFDQC4,2023-11-21,0,4359.48837153752,608,3,3,3,333,Potencial para Retenção
TFDQCA,2024-01-22,0,234.44071769414916,546,3,3,2,332,Potencial para Retenção
TFDQCC,2025-02-27,14,8358.256353905937,144,5,4,3,543,Clientes Leais
TFDQCG,2023-10-25,0,27872.27218963098,635,3,3,4,334,Potencial para Retenção
TFDQD3,2023-10-25,0,65.5633595100766,635,3,3,1,331,Potencial para Retenção
TFDQD7,2025-01-14,1010,178543.21596455533,188,5,5,5,555,Campeões
TFDQDF,2025-03-21,48,19375.170834577475,122,5,5,4,554,Campeões
TFDQDH,2023-11-21,0,78.73824850113711,608,3,3,1,331,Potencial para Retenção
TFDQDJ,2025-01-08,18,9074.988811992063,194,5,4,3,543,Clientes Leais
TFDQDP,2024-07-12,5,3257.8843637036143,374,4,4,3,443,Clientes Leais
TFDQDY,2023-10-27,0,1434.0996986347777,633,3,3,2,332,Potencial para Retenção
TFDQE9,2023-10-27,0,5043.678769738561,633,3,3,3,333,Potencial para Retenção
TFDQEG,2025-01-23,12,12424.424781454223,179,5,4,4,544,Campeões
TFDQET,2023-10-30,0,832.0316541160473,630,3,3,2,332,Potencial para Retenção
TFDQF4,2025-01-29,64,6998.678434832289,173,5,5,3,553,Clientes Leais
TFDQF6,2023-11-06,0,699.097276427688,623,3,3,2,332,Potencial para Retenção
TFDQFM,2023-11-22,0,590.4275634669626,607,3,3,2,332,Potencial para Retenção
